"year","age","male","prop_remitted","educ","prop_cmig","log_npop","prop_self","prop_agri","prop_lessminwage"
1975,28,0,0.406753221,1,0.0471464,12.53177,0.1448254,0.0793179,0.1475543
1980,15,0,0.386657132,6,0.0707196,12.97154,0.1181392,0.0458326,0.1373002
1997,20,1,0.339842627,6,0.1476427,13.45741,0.1540989,0.0123472,0.1318591
1986,17,1,0.370601596,9,0.0942928,12.97154,0.1181392,0.0458326,0.1390484
1975,38,1,0.428164181,0,0.0471464,12.53177,0.1448254,0.0793179,0.1475543
1975,18,1,0.464333879,12,0.0471464,12.53177,0.1448254,0.0793179,0.1475543
1984,25,0,0.425831001,9,0.0880893,12.97154,0.1181392,0.0458326,0.138887
1991,24,1,0.371689403,9,0.1116625,13.45741,0.1540989,0.0123472,0.1311097
1998,22,1,0.324299977,9,0.1513648,13.45741,0.1540989,0.0123472,0.1351189
1985,17,0,0.337422976,11,0.0905707,12.97154,0.1181392,0.0458326,0.137792
1993,28,0,0.399242522,9,0.1215881,13.45741,0.1540989,0.0123472,0.1302523
1993,36,1,0.328825358,12,0.1215881,13.45741,0.1540989,0.0123472,0.1302523
1994,32,1,0.276014338,9,0.1315136,13.45741,0.1540989,0.0123472,0.1302538
1995,29,1,0.341968282,9,0.1377171,13.45741,0.1540989,0.0123472,0.129828
1996,27,1,0.24654737,9,0.146402,13.45741,0.1540989,0.0123472,0.1301652
1979,17,0,0.411623342,6,0.0682382,12.53177,0.1448254,0.0793179,0.1456347
1979,17,1,0.399740251,6,0.0682382,12.53177,0.1448254,0.0793179,0.1456347
1995,29,1,0.288964179,6,0.1377171,13.45741,0.1540989,0.0123472,0.129828
1993,17,0,0.377455018,9,0.1215881,13.45741,0.1540989,0.0123472,0.1302523
1993,19,1,0.361270005,9,0.1215881,13.45741,0.1540989,0.0123472,0.1302523
1981,19,1,0.283512495,6,0.0756824,12.97154,0.1181392,0.0458326,0.1362066
1981,19,0,0.460959088,6,0.0756824,12.97154,0.1181392,0.0458326,0.1362066
1978,32,1,0.44184621,3,0.0632754,12.53177,0.1448254,0.0793179,0.1494865
1968,24,1,0.384272522,6,0.0223325,11.93164,0.2189914,0.1577223,0.1454793
1968,21,0,0.469960718,6,0.0223325,11.93164,0.2189914,0.1577223,0.1454793
1985,19,1,0.425599458,8,0.0905707,12.97154,0.1181392,0.0458326,0.137792
1988,17,0,0.392242798,6,0.1029777,12.97154,0.1181392,0.0458326,0.1352272
1970,22,1,0.50714911,6,0.0322581,12.53177,0.1448254,0.0793179,0.1469026
1970,19,0,0.494788497,9,0.0322581,12.53177,0.1448254,0.0793179,0.1469026
1971,21,1,0.44136443,0,0.0384615,12.53177,0.1448254,0.0793179,0.1496652
1971,19,0,0.423151865,6,0.0384615,12.53177,0.1448254,0.0793179,0.1496652
1968,24,1,0.390527002,3,0.0223325,11.93164,0.2189914,0.1577223,0.1454793
1983,15,0,0.40801741,6,0.0818859,12.97154,0.1181392,0.0458326,0.1393506
1995,17,1,0.258297621,6,0.1377171,13.45741,0.1540989,0.0123472,0.129828
1994,22,1,0.355215416,11,0.1315136,13.45741,0.1540989,0.0123472,0.1302538
1980,17,1,0.446848737,9,0.0707196,12.97154,0.1181392,0.0458326,0.1373002
1968,24,0,0.45030412,9,0.0223325,11.93164,0.2189914,0.1577223,0.1454793
1969,23,0,0.49581897,12,0.0310174,11.93164,0.2189914,0.1577223,0.1463935
1973,26,1,0.446016533,7,0.0434243,12.53177,0.1448254,0.0793179,0.1562987
1980,25,1,0.367786294,7,0.0707196,12.97154,0.1181392,0.0458326,0.1373002
1983,17,1,0.360468696,6,0.0818859,12.97154,0.1181392,0.0458326,0.1393506
1995,24,0,0.344194803,12,0.1377171,13.45741,0.1540989,0.0123472,0.129828
1970,16,0,0.365707431,10,0.0322581,12.53177,0.1448254,0.0793179,0.1469026
1982,27,1,0.467713647,8,0.0794045,12.97154,0.1181392,0.0458326,0.13776
1987,29,0,0.337169832,9,0.0992556,12.97154,0.1181392,0.0458326,0.1367292
1991,33,1,0.381178539,9,0.1116625,13.45741,0.1540989,0.0123472,0.1311097
1976,18,1,0.362340456,12,0.060794,12.53177,0.1448254,0.0793179,0.1482917
1997,23,1,0.277263978,6,0.1476427,13.45741,0.1540989,0.0123472,0.1318591
1968,20,1,0.4646368,6,0.0223325,11.93164,0.2189914,0.1577223,0.1454793
1985,19,1,0.379420674,12,0.0905707,12.97154,0.1181392,0.0458326,0.137792
1989,21,0,0.400233099,12,0.1066997,12.97154,0.1181392,0.0458326,0.1340105
1983,16,1,0.441729097,10,0.0818859,12.97154,0.1181392,0.0458326,0.1393506
1993,21,0,0.383640945,6,0.1215881,13.45741,0.1540989,0.0123472,0.1302523
1972,16,1,0.459723546,5,0.0250627,12.53177,0.1448254,0.0793179,0.1565455
1979,24,0,0.479568248,1,0.0488722,12.53177,0.1448254,0.0793179,0.1456347
1983,19,1,0.425350063,12,0.066416,12.97154,0.1181392,0.0458326,0.1393506
1970,18,1,0.450598387,12,0.018797,12.53177,0.1448254,0.0793179,0.1469026
1972,23,0,0.554376451,6,0.0250627,12.53177,0.1448254,0.0793179,0.1565455
1972,18,0,0.447429829,6,0.0250627,12.53177,0.1448254,0.0793179,0.1565455
1974,17,1,0.375316459,9,0.0338346,12.53177,0.1448254,0.0793179,0.1487976
1977,42,0,0.373527221,6,0.0426065,12.53177,0.1448254,0.0793179,0.1494673
1980,18,0,0.387544571,12,0.0526316,12.97154,0.1181392,0.0458326,0.1373002
1985,18,0,0.409281315,9,0.0802005,12.97154,0.1181392,0.0458326,0.137792
1986,17,0,0.325546024,11,0.0839599,12.97154,0.1181392,0.0458326,0.1390484
1986,16,1,0.382411513,10,0.0839599,12.97154,0.1181392,0.0458326,0.1390484
1978,20,1,0.448873809,9,0.0438596,12.53177,0.1448254,0.0793179,0.1494865
1983,30,0,0.461260626,6,0.066416,12.97154,0.1181392,0.0458326,0.1393506
1983,37,1,0.316275897,6,0.066416,12.97154,0.1181392,0.0458326,0.1393506
1988,42,1,0.36457542,3,0.0927318,12.97154,0.1181392,0.0458326,0.1352272
1984,16,1,0.371072042,3,0.0764411,12.97154,0.1181392,0.0458326,0.138887
1991,25,0,0.351938656,12,0.1140351,13.45741,0.1540989,0.0123472,0.1311097
1970,47,1,0.422087852,5,0.018797,12.53177,0.1448254,0.0793179,0.1469026
1966,24,1,0.401209874,6,0.0100251,11.93164,0.2189914,0.1577223,0.142437
1993,22,1,0.291434931,9,0.1203008,13.45741,0.1540989,0.0123472,0.1302523
1995,20,0,0.369189932,9,0.122807,13.45741,0.1540989,0.0123472,0.129828
1988,23,1,0.36004238,6,0.0927318,12.97154,0.1181392,0.0458326,0.1352272
1983,32,0,0.418612802,6,0.066416,12.97154,0.1181392,0.0458326,0.1393506
1983,28,1,0.447607425,9,0.066416,12.97154,0.1181392,0.0458326,0.1393506
1988,30,1,0.313540743,12,0.0927318,12.97154,0.1181392,0.0458326,0.1352272
1979,25,0,0.418422032,9,0.0488722,12.53177,0.1448254,0.0793179,0.1456347
1980,23,1,0.429964087,12,0.0526316,12.97154,0.1181392,0.0458326,0.1373002
1980,27,1,0.368340979,9,0.0526316,12.97154,0.1181392,0.0458326,0.1373002
1980,17,1,0.37958752,9,0.0526316,12.97154,0.1181392,0.0458326,0.1373002
1981,26,0,0.403646287,9,0.0614035,12.97154,0.1181392,0.0458326,0.1362066
1982,24,0,0.362759503,9,0.0639098,12.97154,0.1181392,0.0458326,0.13776
1982,26,1,0.307189689,12,0.0639098,12.97154,0.1181392,0.0458326,0.13776
1983,23,0,0.300010664,9,0.066416,12.97154,0.1181392,0.0458326,0.1393506
1984,23,0,0.401005512,9,0.0764411,12.97154,0.1181392,0.0458326,0.138887
1988,19,1,0.403213894,13,0.0927318,12.97154,0.1181392,0.0458326,0.1352272
1987,20,1,0.371024719,12,0.0914787,12.97154,0.1181392,0.0458326,0.1367292
1995,28,0,0.344606389,9,0.122807,13.45741,0.1540989,0.0123472,0.129828
1988,25,0,0.448887299,12,0.0927318,12.97154,0.1181392,0.0458326,0.1352272
1988,27,1,0.442030094,17,0.0927318,12.97154,0.1181392,0.0458326,0.1352272
1986,30,0,0.337870613,6,0.0839599,12.97154,0.1181392,0.0458326,0.1390484
1983,23,0,0.433551311,4,0.066416,12.97154,0.1181392,0.0458326,0.1393506
1983,44,0,0.420185889,3,0.066416,12.97154,0.1181392,0.0458326,0.1393506
1973,25,0,0.461590864,6,0.0313283,12.53177,0.1448254,0.0793179,0.1562987
1975,21,0,0.382304126,6,0.037594,12.53177,0.1448254,0.0793179,0.1475543
1976,20,1,0.390765491,6,0.0388471,12.53177,0.1448254,0.0793179,0.1482917
1973,16,1,0.46819156,10,0.0313283,12.53177,0.1448254,0.0793179,0.1562987
1980,21,1,0.345372085,6,0.0526316,12.97154,0.1181392,0.0458326,0.1373002
1988,27,1,0.401336689,6,0.0927318,12.97154,0.1181392,0.0458326,0.1352272
1988,23,1,0.444150393,2,0.0927318,12.97154,0.1181392,0.0458326,0.1352272
1970,25,1,0.517559975,6,0.018797,12.53177,0.1448254,0.0793179,0.1469026
1989,29,0,0.398138292,6,0.10401,12.97154,0.1181392,0.0458326,0.1340105
1992,30,0,0.27601288,9,0.1177945,13.45741,0.1540989,0.0123472,0.1307149
1995,31,0,0.332503745,9,0.122807,13.45741,0.1540989,0.0123472,0.129828
1990,31,1,0.285774239,11,0.1102757,13.45741,0.1540989,0.0123472,0.1318839
1974,19,1,0.451926374,6,0.0338346,12.53177,0.1448254,0.0793179,0.1487976
1972,16,1,0.38389243,5,0.0250627,12.53177,0.1448254,0.0793179,0.1565455
1978,22,1,0.373555149,6,0.0438596,12.53177,0.1448254,0.0793179,0.1494865
1985,31,0,0.372253778,6,0.0802005,12.97154,0.1181392,0.0458326,0.137792
1993,26,1,0.365014644,6,0.1203008,13.45741,0.1540989,0.0123472,0.1302523
1969,26,0,0.462092539,4,0.0137845,11.93164,0.2189914,0.1577223,0.1463935
1979,20,0,0.389657322,6,0.0488722,12.53177,0.1448254,0.0793179,0.1456347
1991,18,0,0.344605547,12,0.1140351,13.45741,0.1540989,0.0123472,0.1311097
1990,18,1,0.496880966,6,0.1102757,13.45741,0.1540989,0.0123472,0.1318839
1992,21,1,0.279610071,6,0.1177945,13.45741,0.1540989,0.0123472,0.1307149
1986,22,1,0.36531595,12,0.0839599,12.97154,0.1181392,0.0458326,0.1390484
1984,23,1,0.328936471,8,0.0764411,12.97154,0.1181392,0.0458326,0.138887
1981,22,1,0.411059162,0,0.0614035,12.97154,0.1181392,0.0458326,0.1362066
1986,20,1,0.407624938,6,0.0839599,12.97154,0.1181392,0.0458326,0.1390484
1989,21,1,0.410466409,9,0.10401,12.97154,0.1181392,0.0458326,0.1340105
1995,22,1,0.452216775,9,0.122807,13.45741,0.1540989,0.0123472,0.129828
1978,21,1,0.406606083,6,0.0438596,12.53177,0.1448254,0.0793179,0.1494865
1986,16,1,0.390090948,10,0.0839599,12.97154,0.1181392,0.0458326,0.1390484
1980,20,1,0.339400773,6,0.0526316,12.97154,0.1181392,0.0458326,0.1373002
1974,16,1,0.38453322,0,0.0338346,12.53177,0.1448254,0.0793179,0.1487976
1976,16,0,0.387633924,0,0.0388471,12.53177,0.1448254,0.0793179,0.1482917
1978,16,0,0.451155325,0,0.0438596,12.53177,0.1448254,0.0793179,0.1494865
1972,20,1,0.507787639,14,0.0250627,12.53177,0.1448254,0.0793179,0.1565455
1990,20,1,0.387086571,9,0.1102757,13.45741,0.1540989,0.0123472,0.1318839
1988,26,1,0.441123464,9,0.0927318,12.97154,0.1181392,0.0458326,0.1352272
1991,18,1,0.311833796,4,0.1140351,13.45741,0.1540989,0.0123472,0.1311097
1985,25,1,0.407247648,11,0.0802005,12.97154,0.1181392,0.0458326,0.137792
